"","ctrl.1.hg38.bam","ctrl.2.hg38.bam","ctrl.3.hg38.bam","ctrl.4.hg38.bam","ctrl.5.hg38.bam","ctrl.6.hg38.bam","sh70c.1.hg38.bam","sh70c.2.hg38.bam","sh70c.3.hg38.bam","sh70c.4.hg38.bam","sh70c.5.hg38.bam","sh70c.6.hg38.bam","gene_name","entrez_id"
"100287102",1,0,0,1,0,0,0,0,0,0,0,0,"DDX11L1","100287102"
"653635",530,850,339,652,489,411,512,562,590,443,582,348,"WASH7P","653635"
"102466751",3,7,3,7,7,0,1,9,8,1,9,1,"MIR6859-1","102466751"
"100302278",0,0,0,0,1,0,0,0,0,0,0,0,"MIR1302-2","100302278"
"645520",0,3,0,0,3,2,0,2,0,0,1,0,"FAM138A","645520"
"79501",0,0,0,0,0,0,0,0,0,0,0,0,"OR4F5","79501"
"729737",531,592,291,601,541,450,469,350,418,388,366,326,"LOC729737","729737"
"102725121",0,0,0,0,0,0,0,0,0,0,0,1,"DDX11L17","102725121"
"102723897",647,790,406,727,611,462,537,534,600,530,763,382,"WASH9P","102723897"
"102465909",0,5,5,4,4,3,4,4,1,0,7,0,"MIR6859-2","102465909"
"729759",0,0,0,0,0,0,0,0,0,0,0,0,"OR4F29","729759"
"100132287",124,157,84,182,153,89,179,137,134,118,112,109,"LOC100132287","100132287"
"105378947",4,4,3,5,9,3,5,8,1,7,4,4,"LOC105378947","105378947"
"101928626",0,0,0,0,0,0,0,0,0,0,0,0,"LOC101928626","101928626"
"102465432",319,296,192,287,253,237,349,225,196,177,160,274,NA,"102465432"
"81399",0,3,2,1,0,1,1,0,0,1,0,0,"OR4F16","81399"
"100133331",151,174,71,177,135,136,139,144,150,150,115,114,NA,"100133331"
"100288069",21,42,26,31,19,17,27,25,24,23,13,21,"LOC100288069","100288069"
"400728",2,3,3,0,3,0,1,0,0,0,0,0,"FAM87B","400728"
"79854",48,59,27,49,32,23,46,42,50,48,39,37,"LINC00115","79854"
"643837",328,374,276,313,284,382,331,423,355,280,280,353,"LINC01128","643837"
"284593",2,1,1,1,1,0,1,2,1,0,1,2,"FAM41C","284593"
"100130417",3,5,0,1,0,0,0,0,2,0,2,0,"LINC02593","100130417"
"148398",5,3,2,6,4,2,4,0,3,1,2,0,"SAMD11","148398"
"26155",1236,2140,1509,1514,1441,1452,1429,1876,1754,1417,1485,1336,"NOC2L","26155"
"339451",534,831,355,647,614,376,492,408,736,458,715,308,"KLHL17","339451"
"84069",108,166,92,149,147,109,94,120,95,116,127,104,"PLEKHN1","84069"
"84808",55,72,44,64,66,65,28,46,64,37,52,36,"PERM1","84808"
"57801",89,134,70,103,99,54,43,54,118,79,95,43,"HES4","57801"
"9636",1622,2647,1285,2361,1548,1189,2195,2693,2106,1956,3389,1301,"ISG15","9636"
"375790",3444,5516,3038,3994,3770,3596,3351,4770,3906,3180,3459,2305,"AGRN","375790"
"105369174",23,35,29,34,22,24,23,36,30,25,38,38,NA,"105369174"
"105378948",10,25,7,17,16,8,8,5,15,11,24,11,"LOC105378948","105378948"
"401934",0,0,1,0,0,0,0,0,0,0,0,0,"RNF223","401934"
"54991",483,657,315,631,505,375,490,409,560,519,665,324,"C1orf159","54991"
"254099",0,0,0,0,0,0,0,0,0,0,0,0,"LINC01342","254099"
"406984",0,0,0,0,0,0,0,0,0,0,0,0,"MIR200B","406984"
